Type,Size,Duration
Push,52428800,0.0126598
Push,52428800,9.829e-06
Push,52428800,9.769e-06
Push,52428800,9.388e-06
Push,52428800,1.0209e-05
Push,52428800,8.586e-06
Push,52428800,9.518e-06
Push,52428800,9.918e-06
Push,52428800,1.058e-05
Push,52428800,9.298e-06
Push,52428800,9.818e-06
Push,52428800,9.729e-06
Push,52428800,8.857e-06
Push,52428800,8.155e-06
Push,52428800,9.427e-06
Push,52428800,1.0269e-05
Push,52428800,1.0851e-05
Push,52428800,9.158e-06
Push,52428800,9.327e-06
Push,52428800,8.345e-06
Push,52428800,9.778e-06
Push,52428800,9.788e-06
Push,52428800,9.127e-06
Push,52428800,8.736e-06
Push,52428800,9.718e-06
Push,52428800,8.997e-06
Push,52428800,8.857e-06
Push,52428800,9.418e-06
Push,52428800,9.487e-06
Push,52428800,1.0369e-05
Push,52428800,8.596e-06
Push,52428800,9.809e-06
Push,52428800,1.2273e-05
Push,52428800,9.638e-06
Push,52428800,8.376e-06
Push,52428800,8.335e-06
Push,52428800,9.798e-06
Push,52428800,9.488e-06
Push,52428800,9.658e-06
Push,52428800,9.187e-06
Push,52428800,9.939e-06
Push,52428800,8.465e-06
Push,52428800,9.148e-06
Push,52428800,8.386e-06
Push,52428800,9.508e-06
Push,52428800,9.808e-06
Push,52428800,9.457e-06
Push,52428800,9.187e-06
Push,52428800,9.057e-06
Push,52428800,7.845e-06
Push,52428800,8.757e-06
Push,52428800,9.388e-06
Push,52428800,9.397e-06
Push,52428800,1.0199e-05
Push,52428800,9.448e-06
Push,52428800,9.287e-06
Push,52428800,0.00807546
Push,52428800,8.587e-06
Push,52428800,9.698e-06
Push,52428800,9.689e-06
Push,52428800,9.969e-06
Push,52428800,9.698e-06
Push,52428800,9.488e-06
Push,52428800,8.536e-06
Flush,-939524096,0.579943
Push,52428800,1.1882e-05
Push,52428800,1.08e-05
Push,52428800,1.079e-05
Push,52428800,9.898e-06
Push,52428800,9.628e-06
Push,52428800,9.418e-06
Push,52428800,1.0289e-05
Push,52428800,8.936e-06
Push,52428800,9.869e-06
Push,52428800,9.678e-06
Push,52428800,9.658e-06
Push,52428800,9.498e-06
Push,52428800,9.387e-06
Push,52428800,9.979e-06
Push,52428800,9.849e-06
Push,52428800,8.846e-06
Push,52428800,1.1632e-05
Push,52428800,9.898e-06
Push,52428800,8.776e-06
Push,52428800,9.889e-06
Push,52428800,9.087e-06
Push,52428800,9.798e-06
Push,52428800,9.017e-06
Push,52428800,9.538e-06
Push,52428800,8.987e-06
Push,52428800,8.486e-06
Push,52428800,9.789e-06
Push,52428800,9.959e-06
Push,52428800,9.468e-06
Push,52428800,9.658e-06
Flush,1572864000,0.314856
